"","x","y","drive"
"171",1557.6,-1499.5,1
"172",1569.1,-1515.5,1
"173",1581.7,-1531.5,1
"174",1593.1,-1547.3,1
"175",1605.7,-1563.2,1
"176",1618.3,-1579.2,1
"177",1630.9,-1595,1
"178",1642.4,-1610.6,1
"179",1653.9,-1625.4,1
"180",1664.3,-1639.7,1
"181",1673.6,-1653.9,1
"182",1681.7,-1668.6,1
"183",1688.5,-1684.4,1
"184",1693.1,-1700.8,1
"185",1694.3,-1717.1,1
"186",1695.4,-1733.4,1
"187",1696.7,-1749.5,1
"188",1697.8,-1765.7,1
"189",1697.9,-1781.7,1
"190",1699,-1797.7,1
"191",1698,-1813.4,1
"192",1699.2,-1829.5,1
"193",1699.2,-1845.5,1
"194",1701.6,-1861.9,1
"195",1702.7,-1878,1
"196",1705,-1894.6,1
"197",1707.3,-1911.2,1
"198",1708.4,-1927.9,1
"199",1709.5,-1944.9,1
"200",1710.6,-1961.9,1
"201",1710.6,-1979.2,1
"202",1711.7,-1996.9,1
"203",1712.8,-2014.6,1
"204",1716.1,-2032.6,1
"205",1718.3,-2050.6,1
"206",1721.6,-2068.9,1
"207",1724.9,-2087.3,1
"208",1728.2,-2105.8,1
"209",1731.5,-2124.5,1
"210",1734.7,-2143.6,1
"211",1739.1,-2162.6,1
"212",1743.6,-2181.2,1
"213",1751.4,-2199.8,1
"214",1759.3,-2218.3,1
"215",1767.1,-2236.7,1
"216",1775,-2255.4,1
"217",1782.9,-2274.5,1
"218",1790.7,-2293.8,1
"219",1798.5,-2313.4,1
"220",1806.2,-2333.5,1
"221",1815.1,-2353.9,1
"222",1824,-2374.4,1
"223",1831.7,-2394.4,1
"224",1839.5,-2414.2,1
"225",1847.4,-2433.5,1
"226",1855.2,-2453.1,1
"227",1863,-2472.5,1
"228",1871.9,-2492.2,1
"229",1879.7,-2511.6,1
"230",1887.5,-2531,1
"231",1896.4,-2550.6,1
"232",1904.3,-2569.9,1
"233",1912.1,-2589.3,1
"234",1921.1,-2608.4,1
"235",1928.9,-2627.2,1
"236",1936.7,-2646,1
"237",1945.7,-2664.4,1
"238",1954.7,-2682.6,1
"239",1969.5,-2700.5,1
"240",1983.2,-2717.5,1
"241",1994.7,-2733.5,1
"242",2007.3,-2748.9,1
"243",2018.8,-2763.5,1
"244",2030.4,-2777.6,1
"245",2040.8,-2790.9,1
"246",2051.3,-2803.6,1
"247",2060.8,-2814.9,1
"248",2070.2,-2825.5,1
"249",2078.7,-2835.5,1
"250",2087,-2845.9,1
"251",2095.4,-2856.7,1
"252",2103.6,-2868.3,1
"253",2111.9,-2879.8,1
"254",2121.3,-2891.2,1
"255",2129.6,-2902.1,1
"256",2139.1,-2913.2,1
"257",2148.6,-2924.6,1
"258",2158,-2935.7,1
"259",2169.8,-2946.4,1
"260",2181.6,-2956,1
"261",2195.7,-2965.1,1
"262",2209.9,-2973.3,1
"263",2225.3,-2980.9,1
"264",2242,-2988.5,1
"265",2258.5,-2995.9,1
"266",2277.3,-3003.1,1
"267",2296.2,-3010.2,1
"268",2315.1,-3016.7,1
"269",2335.3,-3023.4,1
"270",2354.2,-3029.7,1
"271",2373.1,-3036.2,1
"272",2392.1,-3042.7,1
"273",2411,-3049.1,1
"274",2430,-3055.2,1
"275",2449,-3060.1,1
"276",2468.1,-3063.4,1
"277",2487.4,-3065.3,1
"278",2507.9,-3066,1
"279",2528.3,-3066,1
"280",2550,-3065.7,1
"281",2570.6,-3064.9,1
"282",2592.4,-3063.3,1
"283",2614.3,-3060.7,1
"284",2636.2,-3057.7,1
"285",2659.3,-3054.4,1
"286",2682.4,-3050.8,1
"287",2705.5,-3047.2,1
"288",2727.4,-3043.6,1
"289",2750.5,-3040,1
"290",2773.6,-3036.3,1
"291",2796.7,-3032.7,1
"292",2819.8,-3029.3,1
"293",2844.1,-3025.8,1
"294",2867.2,-3022.3,1
"295",2890.2,-3018.5,1
"296",2913.4,-3015,1
"297",2936.5,-3011.5,1
"298",2959.5,-3008,1
"299",2981.4,-3004.4,1
"300",3004.5,-3001.1,1
"301",3027.6,-2997.9,1
"302",3050.7,-2994.8,1
"303",3072.6,-2991.3,1
"304",3095.7,-2987.8,1
"305",3120,-2984.4,1
"306",3143,-2981.2,1
"307",3167.2,-2977.9,1
"308",3191.6,-2974.3,1
"309",3215.8,-2970.9,1
"310",3241.2,-2967.3,1
"311",3265.5,-2963.6,1
"312",3290.8,-2960.1,1
"313",3316.3,-2956.6,1
"314",3340.6,-2952.8,1
"315",3366,-2949.3,1
"316",3390.2,-2945.6,1
"317",3415.7,-2942,1
"318",3439.9,-2938.6,1
"319",3465.4,-2935.3,1
"320",3489.6,-2932.1,1
"321",3513.8,-2928.9,1
"322",3536.9,-2925.7,1
"323",3559.9,-2922.7,1
"324",3584.2,-2919.4,1
"325",3606.1,-2916.3,1
"326",3629.1,-2913.6,1
"327",3651,-2911.7,1
"328",3672.7,-2910.6,1
"329",3693.2,-2909.7,1
"330",3714.9,-2909.8,1
"331",3735.4,-2910.5,1
"332",3757,-2911.6,1
"333",3777.5,-2913.3,1
"334",3799,-2915.9,1
"335",3819.3,-2918.3,1
"336",3839.7,-2921,1
"337",3858.8,-2923.8,1
"338",3879.1,-2927.3,1
"339",3897,-2931.2,1
"340",3916.1,-2935.6,1
"341",3932.9,-2940.4,1
"342",3949.6,-2945.2,1
"343",3966.3,-2949.1,1
"344",3982.1,-2951.5,1
"345",4000.3,-2952.4,1
"346",4017.3,-2951.7,1
"347",4034.6,-2949.7,1
"348",4052.9,-2946.8,1
"349",4070.2,-2943.6,1
"350",4088.7,-2940.1,1
"351",4107.2,-2936.1,1
"352",4124.5,-2931.6,1
"353",4143.1,-2926.8,1
"354",4160.5,-2922,1
"355",4177.8,-2917,1
"356",4195.3,-2912.2,1
"357",4211.5,-2907.2,1
"358",4228.9,-2902.2,1
"359",4246.3,-2897.2,1
"360",4263.7,-2892.4,1
"361",4281.1,-2887.7,1
"362",4298.5,-2882.9,1
"363",4314.7,-2878.1,1
"364",4331,-2873.4,1
"365",4347.2,-2868.8,1
"366",4363.4,-2864.1,1
"367",4378.5,-2858.9,1
"368",4393.7,-2853.2,1
"369",4408.9,-2846.5,1
"370",4421.9,-2838.8,1
"371",4435.1,-2829.9,1
"372",4447.1,-2820,1
"373",4458,-2809.1,1
"374",4467.8,-2797.5,1
"375",4477.7,-2785.4,1
"376",4486.6,-2772.7,1
"377",4495.5,-2759.4,1
"378",4504.3,-2745.9,1
"379",4514.3,-2732,1
"380",4524.4,-2717.6,1
"381",4534.5,-2703.1,1
"382",4545.7,-2688.8,1
"383",4555.7,-2674.7,1
"384",4564.6,-2661.2,1
"385",4573.5,-2648.4,1
"386",4583.4,-2636.5,1
"387",4590.9,-2625.4,1
"388",4597.2,-2615.6,1
"389",4603.3,-2607.8,1
"390",4607.2,-2602,1
"391",4609.7,-2597.4,1
"392",4611.1,-2593.5,1
"393",4610.2,-2590.1,1
"394",4608.1,-2588.5,1
"395",4607,-2588.3,1
"396",4605.8,-2588.5,1
"397",4605.8,-2588.9,1
"398",4606.9,-2589.5,1
"399",4608,-2590.2,1
"400",4607.9,-2590.6,1
"401",4607.9,-2590.8,1
"402",4607.9,-2591,1
"403",4607.8,-2591.7,1
"404",4605.5,-2593.5,1
"405",4604.1,-2596.9,1
"406",4601.6,-2601.7,1
"407",4597.8,-2607.4,1
"408",4594,-2613.9,1
"409",4587.8,-2621.5,1
"410",4581.5,-2630.4,1
"411",4574.1,-2640.7,1
"412",4565.3,-2651.7,1
"413",4557.8,-2662.9,1
"414",4549.1,-2675.2,1
"415",4539.1,-2687.6,1
"416",4529.2,-2700.6,1
"417",4520.3,-2714,1
"418",4510.3,-2727,1
"419",4500.3,-2740.4,1
"420",4491.5,-2754,1
"421",4481.4,-2768.1,1
"422",4471.3,-2782.5,1
"423",4460,-2797.1,1
"424",4448.9,-2811.2,1
"425",4435.5,-2823.9,1
"426",4421,-2835.4,1
"427",4405.5,-2845.8,1
"428",4387.8,-2854.7,1
"429",4369.1,-2862.4,1
"430",4350.4,-2868.8,1
"431",4330.7,-2874.8,1
"432",4310.8,-2880.7,1
"433",4291.1,-2886.2,1
"434",4271.3,-2891.8,1
"435",4250.4,-2897.5,1
"436",4230.7,-2903.1,1
"437",4210.9,-2908.8,1
"438",4190,-2914.5,1
"439",4169,-2920.1,1
"440",4149.2,-2925.9,1
"441",4129.5,-2931.6,1
"442",4109.7,-2936.9,1
"443",4087.7,-2941.4,1
"444",4068.1,-2945.5,1
"445",4049.6,-2949.3,1
"446",4031.2,-2952.4,1
"447",4011.7,-2954.5,1
"448",3993.4,-2955.3,1
"449",3974.2,-2953.8,1
"450",3955,-2950.7,1
"451",3936,-2946,1
"452",3914.7,-2940.4,1
"453",3895.7,-2935.4,1
"454",3875.4,-2931,1
"455",3855.1,-2927.3,1
"456",3832.5,-2923.7,1
"457",3811.1,-2920.7,1
"458",3788.3,-2918,1
"459",3766.8,-2915.7,1
"460",3744.2,-2913.6,1
"461",3722.6,-2912.4,1
"462",3700.9,-2911.8,1
"463",3678,-2911.8,1
"464",3655.2,-2912.1,1
"465",3632.3,-2913.1,1
"466",3608.1,-2915.2,1
"467",3585.1,-2917.9,1
"468",3562.1,-2921.2,1
"469",3538.9,-2924.7,1
"470",3515.8,-2928.3,1
"471",3493.9,-2932,1
"472",3470.9,-2935.5,1
"473",3445.4,-2938.7,1
"474",3421.2,-2942.1,1
"475",3396.9,-2945.4,1
"476",3372.7,-2948.4,1
"477",3348.5,-2951.6,1
"478",3324.2,-2954.8,1
"479",3301.1,-2958.1,1
"480",3276.9,-2961.5,1
"481",3253.8,-2964.9,1
"482",3229.6,-2968.2,1
"483",3205.3,-2971.5,1
"484",3182.2,-2974.8,1
"485",3159.2,-2978,1
"486",3137.2,-2981.2,1
"487",3115.3,-2984.5,1
"488",3093.5,-2987.8,1
"489",3072.7,-2991,1
"490",3052,-2994.3,1
"491",3031.2,-2997.8,1
"492",3011.6,-3001.3,1
"493",2990.8,-3004.8,1
"494",2970,-3008.2,1
"495",2949.2,-3012.1,1
"496",2936.5,-3016.7,1
"497",2914.6,-3020,1
"498",2893.8,-3023.4,1
"499",2871.9,-3026.8,1
"500",2848.8,-3029.9,1
"501",2825.8,-3033,1
"502",2801.6,-3036.5,1
"503",2776.1,-3039.6,1
"504",2750.7,-3042.2,1
"505",2724.2,-3045.1,1
"506",2700,-3048,1
"507",2676.9,-3051.3,1
"508",2652.7,-3054.3,1
"509",2628.5,-3057,1
"510",2605.5,-3059.5,1
"511",2582.6,-3061.1,1
"512",2559.6,-3062.1,1
"513",2537.9,-3062.7,1
"514",2513.9,-3062.6,1
"515",2489.9,-3061.8,1
"516",2468.4,-3060,1
"517",2446.9,-3056.2,1
"518",2425.7,-3050.6,1
"519",2403.2,-3043.6,1
"520",2382,-3036.4,1
"521",2360.8,-3029.2,1
"522",2339.6,-3022.1,1
"523",2319.7,-3014.8,1
"524",2298.4,-3007.2,1
"525",2277.2,-2999.5,1
"526",2257.3,-2991.3,1
"527",2238.4,-2982.9,1
"528",2219.7,-2973.7,1
"529",2201,-2964.1,1
"530",2183.4,-2953.6,1
"531",2166,-2941.4,1
"532",2151,-2927.2,1
"533",2137.3,-2911.5,1
"534",2124.7,-2894.8,1
"535",2111,-2877.5,1
"536",2096.3,-2859.9,1
"537",2082.7,-2842,1
"538",2069,-2823.7,1
"539",2055.4,-2805,1
"540",2040.7,-2786.3,1
"541",2027.1,-2767.9,1
"542",2013.6,-2749.1,1
"543",1998.8,-2730.7,1
"544",1985.2,-2713,1
"545",1972.6,-2695.7,1
"546",1961.2,-2678.3,1
"547",1951.1,-2660.1,1
"548",1942.1,-2641.3,1
"549",1933.1,-2622.4,1
"550",1925.3,-2603.2,1
"551",1917.4,-2584.1,1
"552",1909.7,-2564.8,1
"553",1901.9,-2545.2,1
"554",1894.1,-2525.2,1
"555",1886.3,-2504.8,1
"556",1878.6,-2484.5,1
"557",1872,-2463.9,1
"558",1864.3,-2443.3,1
"559",1855.4,-2422.7,1
"560",1847.7,-2402.1,1
"561",1839.9,-2381.2,1
"562",1832.2,-2359.8,1
"563",1823.4,-2338.1,1
"564",1814.7,-2316.3,1
"565",1807,-2294.5,1
"566",1799.3,-2273,1
"567",1791.6,-2252,1
"568",1782.7,-2231,1
"569",1775,-2210,1
"570",1766.2,-2188.8,1
"571",1758.5,-2167.2,1
"572",1752,-2145.4,1
"573",1745.5,-2123,1
"574",1741.3,-2100.6,1
"575",1737.1,-2078,1
"576",1733,-2055.2,1
"577",1728.8,-2032.3,1
"578",1724.7,-2009.1,1
"579",1721.7,-1985.5,1
"580",1719.9,-1962,1
"581",1719.2,-1938,1
"582",1718.6,-1914,1
"583",1716.7,-1890,1
"584",1713.8,-1865.9,1
"585",1710.9,-1841.8,1
"586",1707.9,-1817.7,1
"587",1705,-1793.3,1
"588",1703.2,-1769.4,1
"589",1701.3,-1746.2,1
"590",1699.4,-1724.4,1
"591",1698.5,-1704.3,1
"592",1696.3,-1685.7,1
"593",1695.2,-1668.9,1
"594",1692.9,-1653.1,1
"595",1689.3,-1638.3,1
"596",1684.6,-1623.8,1
"597",1676.5,-1610.6,1
"598",1667.2,-1597,1
"599",1655.6,-1582.3,1
"600",1643,-1566.3,1
"601",1630.5,-1549.7,1
"602",1616.8,-1532.6,1
"603",1603.1,-1515,1
"604",1589.5,-1496.9,1
"605",1574.8,-1478,1
"606",1561.2,-1458.9,1
"607",1546.5,-1439.3,1
"608",1531.8,-1419.7,1
"609",1517.2,-1400.1,1
"610",1502.5,-1380.6,1
"611",1486.6,-1361.2,1
"612",1471.9,-1341.7,1
"613",1457.2,-1322.2,1
"614",1442.6,-1303.1,1
"615",1427.8,-1284,1
"616",1414.3,-1265.3,1
"617",1398.3,-1247.2,1
"618",1381.1,-1230.2,1
"619",1364,-1213.9,1
"620",1346.8,-1197.6,1
"621",1327.3,-1181,1
"622",1309,-1164.5,1
"623",1289.5,-1147.6,1
"624",1271.2,-1130.8,1
"625",1252.9,-1114,1
"626",1234.6,-1097.1,1
"627",1216.3,-1080.6,1
"628",1197.9,-1064.1,1
"629",1179.6,-1047.8,1
"630",1162.4,-1031.6,1
"631",1144.1,-1015.3,1
"632",1126.8,-999.1,1
"633",1109.7,-983.1,1
"634",1092.5,-967.4,1
"635",1074,-951.9,1
"636",1056.8,-936.5,1
"637",1040.7,-921.2,1
"638",1023.5,-905.7,1
"639",1007.4,-890.3,1
"640",992.5,-875.1,1
"641",976.4,-859.8,1
"642",961.4,-844.6,1
"643",946.5,-829.5,1
"644",931.6,-814.4,1
"645",917.7,-799.5,1
"646",903.9,-784.1,1
"647",891.4,-768.8,1
"648",878.7,-753.7,1
"649",866,-738.7,1
"650",854.5,-724.3,1
"651",842.9,-709.4,1
"652",831.4,-695.5,1
"653",818.5,-682.9,1
"654",803.5,-670.5,1
"655",790.6,-658.1,1
"656",776.7,-645.7,1
"657",764.9,-634.4,1
"658",752.1,-623.5,1
"659",740.3,-613.3,1
"660",727.3,-603.4,1
"661",715.4,-594.1,1
"662",703.6,-585.1,1
"663",692.8,-576.4,1
"664",682,-567.4,1
"665",672.5,-558.7,1
"666",662.8,-550.9,1
"667",651.9,-545.2,1
"668",641.7,-544.2,1
"669",629.3,-544.5,1
"670",616.8,-546,1
"671",603.1,-546.2,1
"672",591.9,-546.2,1
"673",578.2,-546.2,1
"674",565.7,-546.4,1
"675",552.2,-546.4,1
"676",539.7,-546.5,1
"677",528.5,-546.4,1
"678",517.1,-546,1
"679",505.8,-545.2,1
"680",495.8,-544.1,1
"681",487.9,-543.4,1
"682",482.4,-543.2,1
"683",479,-543.1,1
"684",476.7,-542.9,1
"685",475.6,-542.4,1
"686",474.6,-541,1
"687",473.8,-535.9,1
"688",474.2,-530.6,1
"689",473.5,-524.6,1
"690",474,-517.3,1
"691",473.4,-509,1
"692",472.9,-499.6,1
"693",471.4,-489.6,1
"694",471,-478.9,1
"695",469.6,-466.1,1
"696",468.1,-453.2,1
"697",465.6,-440.6,1
"698",463.1,-427.5,1
"699",461.7,-414.4,1
"700",461.4,-401.1,1
"701",459,-388.1,1
"702",457.6,-375.4,1
"703",456.2,-362.3,1
"704",454.7,-350.3,1
"705",454.3,-338.6,1
"706",454,-327.4,1
"707",452.5,-316.5,1
"708",449.8,-305.8,1
"709",444.9,-295.1,1
"710",437.6,-285.2,1
"711",431.5,-275.8,1
"712",424.2,-266.7,1
"713",415.7,-256.8,1
"714",406.3,-246.6,1
"715",395.6,-236.6,1
"716",384.9,-226,1
"717",373.2,-215.3,1
"718",360.2,-204.6,1
"719",346.2,-193.9,1
"720",332.2,-183.4,1
"721",318,-173.2,1
"722",301.7,-162.9,1
"723",285.2,-153.1,1
"724",268.9,-143.2,1
"725",251.3,-132.8,1
"726",234.9,-122.2,1
"727",217.4,-111.2,1
"728",199.9,-99.9,1
"729",181.3,-88.8,1
"730",163.8,-77.5,1
"731",145.2,-66.4,1
"732",127.7,-55.3,1
"733",109,-44.5,1
"734",90.4,-33.2,1
"735",71.8,-21.9,1
"736",53.1,-10.7,1
"737",35.5,0.4,1
"738",16.9,11.6,1
"739",-1.7,23.1,1
"740",-19.2,34.8,1
"741",-36.6,47.2,1
"742",-54,60.4,1
"743",-71.3,74.4,1
"744",-88.6,88.9,1
"745",-104.7,103.9,1
"746",-120.8,119.3,1
"747",-136.8,134.6,1
"748",-152.9,150,1
"749",-167.9,165.7,1
"750",-182.8,181.3,1
"751",-197.7,197.3,1
"752",-213.8,213.3,1
"753",-228.6,229.3,1
"754",-243.6,245.4,1
"755",-259.5,261.6,1
"756",-274.4,278,1
"757",-290.5,294.7,1
"758",-305.3,311.4,1
"759",-320.2,328.6,1
"760",-333.8,345.8,1
"761",-348.7,363.3,1
"762",-362.3,380.9,1
"763",-375.9,398.8,1
"764",-387.2,417.5,1
"765",-398.5,436.7,1
"766",-408.6,456.4,1
"767",-417.5,476.5,1
"768",-426.4,497,1
"769",-434.1,517.6,1
"770",-440.8,538.6,1
"771",-448.5,560.1,1
"772",-453.9,581.1,1
"773",-459.3,602.1,1
"774",-464.7,623.2,1
"775",-470.1,644.5,1
"776",-475.5,665.8,1
"777",-482,687.5,1
"778",-487.5,708.8,1
"779",-491.8,729.7,1
"780",-496.1,750.8,1
"781",-499.2,771.4,1
"782",-502.4,791.7,1
"783",-504.5,811.7,1
"784",-506.6,831.7,1
"785",-508.7,851.6,1
"786",-509.6,871.3,1
"787",-509.5,890.6,1
"788",-509.4,909.3,1
"789",-508.1,927,1
"790",-507,943.5,1
"791",-506,958.1,1
"792",-505.2,970.8,1
"793",-504.5,981.6,1
"794",-503.9,990.2,1
"795",-503.5,997.2,1
"796",-503.1,1002.9,1
"797",-503.8,1008.2,1
"798",-506.9,1011.7,1
"799",-511.3,1013.1,1
"800",-517,1013.3,1
"801",-521.4,1013.6,1
"802",-524.6,1015.2,1
"803",-525.6,1017.8,1
"804",-525.4,1020,1
"805",-525.3,1021.6,1
"806",-525.3,1021.9,1
"807",-525.3,1021.8,1
"808",-526.5,1021.8,1
"809",-526.6,1021.5,1
"810",-527.7,1021.5,1
"811",-528.8,1021.4,1
"812",-528.8,1021.2,1
"813",-528.8,1021.2,1
"814",-529.9,1021.3,1
"815",-529.9,1021.1,1
"816",-529.9,1021,1
"817",-531,1021.1,1
"818",-531,1021.1,1
"819",-531.1,1020.9,1
"820",-531.1,1020.9,1
"821",-531.1,1020.9,1
"822",-532.2,1020.9,1
"823",-532.2,1020.9,1
"824",-532.2,1020.9,1
"825",-532.2,1020.8,1
"826",-532.2,1020.8,1
"827",-532.2,1020.8,1
"828",-532.2,1020.7,1
"829",-533.3,1020.7,1
"830",-533.3,1020.7,1
"831",-533.3,1020.7,1
"832",-533.3,1020.6,1
"833",-533.3,1020.6,1
"834",-533.3,1020.6,1
"835",-533.3,1020.5,1
"836",-533.3,1020.5,1
"837",-533.3,1020.5,1
"838",-533.3,1020.5,1
"839",-534.4,1020.6,1
"840",-534.4,1020.5,1
"841",-534.4,1020.5,1
"842",-534.4,1020.5,1
"843",-534.4,1020.5,1
"844",-535.5,1020.4,1
"845",-535.5,1020.4,1
"846",-535.5,1020.4,1
"847",-535.5,1020.4,1
"848",-535.5,1020.4,1
"849",-535.5,1020.4,1
"850",-535.5,1020.4,1
"851",-535.5,1020.4,1
"852",-535.5,1020.4,1
"853",-535.5,1020.4,1
"854",-535.5,1020.4,1
"855",-535.5,1020.4,1
"856",-535.5,1020.4,1
"857",-535.5,1020.4,1
"858",-535.5,1020.4,1
"859",-535.5,1020.3,1
"860",-535.5,1020.3,1
"861",-535.5,1020.3,1
"862",-535.5,1020.3,1
"863",-535.5,1020.3,1
"864",0,0,2
"865",-11.5,2.9,2
"866",-22,5.5,2
"867",-31.9,6.7,2
"868",-40.1,8.4,2
"869",-46.8,9.6,2
"870",-51.1,11.1,2
"871",-53.2,11.9,2
"872",-54,12.2,2
"873",-54,12.2,2
"874",-53.8,12.1,2
"875",-53.6,12,2
"876",-53.9,12.1,2
"877",-55.2,12.6,2
"878",-57.8,13.5,2
"879",-61.6,13.7,2
"880",-65.7,15.2,2
"881",-70.8,17.1,2
"882",-77,19.3,2
"883",-83.6,21.6,2
"884",-89,26,2
"885",-93.1,31,2
"886",-94.6,38.7,2
"887",-93.5,46.8,2
"888",-90,55,2
"889",-84,64.8,2
"890",-76.9,75.5,2
"891",-68.8,87,2
"892",-60.5,98.5,2
"893",-51.9,109.8,2
"894",-42.2,123.1,2
"895",-32,136.4,2
"896",-21.5,149.4,2
"897",-10.2,163.5,2
"898",0.7,176.5,2
"899",11.9,189.3,2
"900",24.1,203,2
"901",35.9,215.7,2
"902",47.9,228.2,2
"903",60.3,240.7,2
"904",72.8,253,2
"905",86.1,265.1,2
"906",99.8,277.1,2
"907",113.4,287.8,2
"908",127.6,299.6,2
"909",141.8,310.3,2
"910",156.3,320.7,2
"911",171.1,332.2,2
"912",185.8,342.6,2
"913",200.8,352.9,2
"914",216.3,363,2
"915",232,371.9,2
"916",248.4,381.6,2
"917",264.6,390.3,2
"918",280,398.1,2
"919",295,405.9,2
"920",309,412.9,2
"921",321.9,419,2
"922",333.8,425.7,2
"923",344,432.8,2
"924",350,440.2,2
"925",352.3,450.1,2
"926",350.8,460.2,2
"927",344.6,468.4,2
"928",335.1,475.4,2
"929",323.9,479.5,2
"930",312.1,482.5,2
"931",299.9,484.6,2
"932",287.8,487.7,2
"933",275,491.1,2
"934",261.1,493.7,2
"935",246.9,497.6,2
"936",232.1,500.5,2
"937",216.6,503.6,2
"938",200.6,507.1,2
"939",184.1,510.5,2
"940",167.3,514.2,2
"941",150.4,519,2
"942",132.2,523.2,2
"943",114.1,528.4,2
"944",95,532.9,2
"945",75.5,537.5,2
"946",56.2,543.2,2
"947",36.3,547.9,2
"948",16.7,553.9,2
"949",-3.6,559.9,2
"950",-24.5,566.2,2
"951",-45.4,573.7,2
"952",-66.7,581.4,2
"953",-87.9,589,2
"954",-108.7,597.7,2
